sr,dms_code,exam_centre_name,venue_address,pincode,region,state,city,venue_status,blacklist_info,ffa_frequency,deo_remarks_summary,suspicious_summary,call_log_summary,market_remark,final_analysis,reason
1206,EST-WB-1228,BANKURA PRIVATE INDUSTRIAL TRAINING INSTITUTE,"SUKANTAPALLY, SATIGHAT, BYPASS ROAD, BANKURA, WEST BENGAL",722101.0,EAST,WEST BENGAL,BANKURA,ACTIVE,,0,,,Power Related(2),,Average,Power Related(2)
1207,EST-WB-1385,BIREN MAHANTI MEMORIAL GOVERNEMENT INDUSTRIAL TRAINING INSTITUTE ÃƑÂƑÃ‚Â¢ ÃƑÂ‚ KARAKANALI RUNNING UNDER PTP,"KARAKANALI, PATHARDOBA, SIMLAPAL, BANKURA, WEST BENGAL",722151.0,EAST,WEST BENGAL,BANKURA,ACTIVE,,0,,,"PC Changed(1), Power Related(3)",,Average,"PC Changed(1), Power Related(3)"
1208,EST-WB-1386,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE RANIBANDH,"JL NO - 109, PLOT NO- 10(P), ITI ROAD, VILLAGE - MALBERAPO, PS - RANIBANDH, BANKURA, WEST BENGAL",722148.0,EAST,WEST BENGAL,BANKURA,ACTIVE,,0,,,,,Good,Good
1209,EST-WB-1124,DR. KALAM ACADEMY,"NAWABHAT MORE, G.T. ROAD, BARDHAMAN, WEST BENGAL",713104.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,,,Good,Good
1210,EST-WB-1136,PIXN TECHONOLOGY PVT.LTD,"ULHAS NANDINI COMPEX, 1ST AVENUE, PURBA BARDDHAMAN, WEST BENGAL",713104.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,,,Good,Good
1211,EST-WB-1148,BIDYASAGAR INSTITUTE OF COMPUTER,"TOWN HALL PARA LANE, BADAMTALA, KALIBAZAR, DURGAPUR, BARDDHAMAN, WEST BENGAL",713101.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),"PC Changed(19), Power Related(2)",Doubtful (Reviews < 10),Sensitive Venue,Suspicious Activity Observed At Venue(1)
1212,EST-WB-1229,ASANSOL PRIVATE INDUSTRIAL TRAINING INSTITUTE,"FATEHPUR, G.T. ROAD, ASANSOL, WEST BENGAL",713359.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,"PC Changed(12), Power Related(4)",,Average,"PC Changed(12), Power Related(4)"
1213,EST-WB-1230,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE FOR WOMEN - BURDWAN,"ALISHA, G.T. ROAD, BYPASS MORE, JOTERAM, PURBA BARDHAMAN, WEST BENGAL",713104.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,Power Related(2),,Average,Power Related(2)
1214,EST-WB-1231,NS PRIVATE INDUSTRIAL TRAINING INSTITUTE,"VILLAGE - CHANDIPUR, PO - ABHIRAMPUR, PURBA BARDDHAMAN, WEST BENGAL",713144.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,,,Good,Good
1215,EST-WB-1232,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - AUSGRAM II RUNNING UNDER PTP,"DEBSALA, TRILOKCHANDRAPUR, AUSGRAM-II, PURBA BARDDHAMAN, WEST BENGAL",713148.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,PC Changed(3),,Average,PC Changed(3)
1216,EST-WB-1233,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - PURBASTHALI I RUNNING UNDER PTP,"VIDYANAGAR, NANDAN GHAT, PURBASTHALI, BARDDHAMAN, WEST BENGAL",713427.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,"PC Changed(2), Power Related(8)",,Average,"PC Changed(2), Power Related(8)"
1217,EST-WB-1234,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - DURGAPUR MUCHIPARA,"G.T. ROAD, MUCHIPARA, INDUSTRIAL AREA, DURGAPUR, BARDDHAMAN, WEST BENGAL",713212.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
1218,EST-WB-1235,RANIGANJ PRIVATE INDUSTRIAL TRAINING INSTITUTE,"RAMBAGAN, MADHU SARANI ROAD, DOCTOR'S COLONY, RANIGANJ, BARDDHAMAN, WEST BENGAL",713358.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,"PC Changed(23), Power Related(6)",,Average,"PC Changed(23), Power Related(6)"
1219,EST-WB-1236,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - RUPNARAYANPUR,"HINDUSTHAN CABLES TOWN, BARDDHAMAN, WEST BENGAL",713335.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,"PC Changed(1), Power Related(2)",,Average,"PC Changed(1), Power Related(2)"
1220,EST-WB-1387,ANJANEY PRIVATE INDUSTRIAL TRAINING INSTITUTE,"DISHERGARH, PO - GANGUTIA, PASCHIM BARDHAMAN, WEST BENGAL",713333.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,"D Mapping(1), PC Changed(5), Power Related(15)",,Average,"D Mapping(1), PC Changed(5), Power Related(15)"
1221,EST-WB-1388,ASANSOL JUNIOR POLYTECHNIC (GOVERNMENT INDUSTRIAL TRAINING INSTITUTE),"SOUTH DADKA, ASANSOL, BARDDHAMAN, WEST BENGAL",713302.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,,,Good,Good
1222,EST-WB-1389,GITARANI PRIVATE INDUSTRIAL TRAINING INSTITUTE,"MOHANPUR MASAGRAM, PO - SANCHARA, PURBA BARDDHAMAN, WEST BENGAL",713401.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,Power Related(2),,Average,Power Related(2)
1223,EST-WB-1390,GOURI DEVI PRIVATE INDUSTRIAL TRAINING INSTITUTE,"GT ROAD (NH2), RAJBANDH, DURGAPUR, PASCHIM BARDDHAMAN, WEST BENGAL",713148.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,PC Changed(1),,Average,PC Changed(1)
1224,EST-WB-1391,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - KANYAPUR,"PO - RAM KRISHNA MISSION, ASANSOL, PASCHIM BARDHAMAN, WEST BENGAL",713305.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,,,Good,Good
1225,EST-WB-1412,EXITO (THE SUCCESS),"NABABHAT, PURBA BARDDHAMAN, WEST BENGAL",713104.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,,,Good,Good
1226,EST-WB-1418,GOBINDAPUR SEPHALI MEMORIAL POLYTECHNIC,"PO - KELETI, GOBINDAPUR (NEAR GUSKARA), AUSGRAM, BARDDHAMAN - 713128, WEST BENGAL",713128.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1227,EST-WB-1425,DAINHAT PRIVATE INDUSTRIAL TRAINING INSTITUTE,"DAINHAT, BARDDHAMAN, WEST BENGAL",713502.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,Power Related(9),,Average,Power Related(9)
1228,EST-WB-1426,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - GALSI RUNNING UNDER PTP,"GALSI, BARDDHAMAN, WEST BENGAL",713144.0,EAST,WEST BENGAL,BARDDHAMAN,ACTIVE,,0,,,"PC Changed(2), Power Related(1)",,Average,"PC Changed(2), Power Related(1)"
1229,EST-WB-1133,MURSHIDABAD COLLEGE OF ENGINEERING AND TECHNOLOGY,"BANJETIA, COSSIMBAZAR, BERHAMPORE, MURSHIDABAD, WEST BENGAL",742102.0,EAST,WEST BENGAL,BERHAMPORE,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
1230,EST-WB-1237,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - ILLAMBAZAR RUNNING UNDER PTP,"ILLAMBAZAR, BIRBHUM, WEST BENGAL",731214.0,EAST,WEST BENGAL,BIRBHUM,ACTIVE,,0,,,"PC Changed(7), Power Related(7)",,Average,"PC Changed(7), Power Related(7)"
1231,EST-WB-1238,BASANTIKA INSTITUTE OF ENGINEERING & TECHNOLOGY,"GANPUR, MD BAZAR, BIRBHUM, WEST BENGAL",731216.0,EAST,WEST BENGAL,BIRBHUM,ACTIVE,,0,,,"PC Changed(3), Power Related(14), QB Pull Issue(2)",Doubtful (Reviews < 10),Average,"PC Changed(3), Power Related(14), QB Pull Issue(2)"
1232,EST-WB-1239,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - SURI,"KAMALPUR ROAD, TILPARA, SURI, WEST BENGAL",731101.0,EAST,WEST BENGAL,BIRBHUM,ACTIVE,,0,,,"PC Changed(4), Power Related(8)",,Average,"PC Changed(4), Power Related(8)"
1233,EST-WB-1240,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - MATHABHANGA RUNNING UNDER PTP,"UTTAR BARAIBARI, MATIARKUTHI, PS - GOKSHADANGA, MATHABHANGA, COOCH BEHAR, WEST BENGAL",736157.0,EAST,WEST BENGAL,COOCH BEHAR,ACTIVE,,0,,,Power Related(18),,Average,Power Related(18)
1234,EST-WB-1241,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - COOCH BEHAR,"PILKHANA ROAD, COOCH BEHAR, WEST BENGAL",736101.0,EAST,WEST BENGAL,COOCH BEHAR,ACTIVE,,0,,,,,Good,Good
1235,EST-WB-1408,GALAXY COMPUTER ACADEMY,"AMBARI, DINHATA - SAHEBGANJ ROAD, NIGAMNAGAR, DINHATA, COOCH BEHAR, WEST BENGAL",736169.0,EAST,WEST BENGAL,COOCH BEHAR,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),"PC Changed(18), Power Related(25)",Doubtful (Reviews < 10),Sensitive Venue,Suspicious Activity Observed At Venue(1)
1236,EST-WB-1242,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - HILI,"VILLAGE - RAMJIBANPUR, PO - JAMALPUR, PS - HILI, DAKSHIN DINAJPUR, WEST BENGAL",733145.0,EAST,WEST BENGAL,DAKSHIN DINAJPUR,ACTIVE,,0,,,"PC Changed(2), Power Related(5)",,Average,"PC Changed(2), Power Related(5)"
1237,EST-WB-1243,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - HARIRAMPUR RUNNING UNDER PTP,"PUNDARI, HARIRAMPUR, DAKSHIN DINAJPUR, WEST BENGAL",733125.0,EAST,WEST BENGAL,DAKSHIN DINAJPUR,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
1238,EST-WB-1392,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - TAPAN RUNNING UNDER PTP,"VILL. - TAPAN, PO - TAPAN, PS - TAPAN, DIST - DAKSHIN DINAJPUR, WEST BENGAL",733127.0,EAST,WEST BENGAL,DAKSHIN DINAJPUR,ACTIVE,,0,,,"PC Changed(3), Power Related(7)",,Average,"PC Changed(3), Power Related(7)"
1239,EST-WB-1244,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - SILIGURI,"SEVOKE ROAD, ITI ROAD, DISTRICT - DARJEELING, SILIGURI, WEST BENGAL",734001.0,EAST,WEST BENGAL,DARJEELING,ACTIVE,,0,,,PC Changed(5),,Average,PC Changed(5)
1240,EST-WB-1393,SILIGURI GLOBAL PRIVATE INDUSTRIAL TRAINING INSTITUTE,"PLOT NO 94/180, THIKNIKATA, PO - SUSHRUTNAGAR, DISTRICT - DARJEELING, SILIGURI, WEST BENGAL",734012.0,EAST,WEST BENGAL,DARJEELING,ACTIVE,,0,,,"PC Changed(2), Power Related(2)",,Average,"PC Changed(2), Power Related(2)"
1241,EST-WB-1401,DARJEELING GYMKHANA CLUB LTD. - TBX,"THE MALL, DARJEELING, WEST BENGAL",734101.0,EAST,WEST BENGAL,DARJEELING,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1242,EST-WB-1780,UMANG INFOTECH - GOYAL PLAZA,"GOYAL PLAZA, 3RD FLOOR, 2ND MILE, SEVOKE ROAD, SILIGURI, WEST BENGAL",734001.0,EAST,WEST BENGAL,DARJEELING,ACTIVE,,0,,,"D Mapping(1), PC Changed(1), Power Related(2)",Average (Rating <4 & Reviews >=10),Average,"D Mapping(1), PC Changed(1), Power Related(2)"
1243,EST-WB-1118,ARYABHATTA INTITUTE OF ENGINEERING & MANGEMENT,"PANAGARH BYPASS ROAD, PO - PANAGARH BAZAR, BARDDHAMAN, WEST BENGAL",713148.0,EAST,WEST BENGAL,DURGAPUR,ACTIVE,,0,,,PC Changed(9),Doubtful (Reviews < 10),Average,PC Changed(9)
1244,EST-WB-1122,DAV MODEL SCHOOL,"J.M SENGUPTA ROAD, B-ZONE, DURGAPUR, BARDDHAMAN, WEST BENGAL",713205.0,EAST,WEST BENGAL,DURGAPUR,ACTIVE,,0,,,,,Good,Good
1245,EST-WB-1137,RAJENDRANATH COLLEGE OF POLYTECHNIC,"SHIBTALA - GOPALPUR ROAD, GOPALPUR VILLAGE, DURGAPUR, BARDDHAMAN, WEST BENGAL",713212.0,EAST,WEST BENGAL,DURGAPUR,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1246,EST-WB-1140,SANAKA EDUCATIONAL TRUST,"SANAKA EDUCATIONAL TRUST GROUP OF INSTITUTION, MALANDIGHI, JOYDEV ROAD, KANKSHA, DURGAPUR, BARDDHAMAN, WEST BENGAL",713212.0,EAST,WEST BENGAL,DURGAPUR,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
1247,EST-WB-1315,ABS ACADEMY,"A-10, SUNIBAS, BIDHANNAGAR, DURGAPUR, BARDDHAMAN, WEST BENGAL",713212.0,EAST,WEST BENGAL,DURGAPUR,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
1248,EST-WB-1413,CONFIANCE,"MODULE C, 5TH FLOOR, WEBEL IT PARK, PALASHDIHA INDUSTRIAL AREA, DURGAPUR, PASCHIM BARDDHAMAN, WEST BENGAL",713208.0,EAST,WEST BENGAL,DURGAPUR,ACTIVE,,1,,,"PC Changed(13), Power Related(9)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
1249,EST-WB-1414,R. A. SHAW PRIVATE ITI,"UKHRA ROAD, ANDAL MORE, ANDAL, DURGAPUR, PASCHIM BARDDHAMAN, WEST BENGAL",713321.0,EAST,WEST BENGAL,DURGAPUR,ACTIVE,,0,,,,,Good,Good
1250,EST-WB-1126,GOVERNMENT COLLEGE OF ENGINEERING AND TEXTILE TECHNOLOGY SERAMPORE,"12, WILLIAM CAREY ROAD, SERAMPORE, HOOGHLY, WEST BENGAL",712201.0,EAST,WEST BENGAL,HOOGHLY,ACTIVE,,0,,,,,Good,Good
1251,EST-WB-1245,KHAMARGACHI PRIVATE INDUSTRIAL TRAINING INSTITUTE,"VILLAGE - HAMJANPUR, KHAMARGACHI, BALAGARH, HOOGHLY, WEST BENGAL",712515.0,EAST,WEST BENGAL,HOOGHLY,ACTIVE,,0,,,"PC Changed(7), Power Related(16)",,Average,"PC Changed(7), Power Related(16)"
1252,EST-WB-1246,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - HOOGHLY (SAHAGANJ),"G.T. ROAD, SAHAGANJ, HOOGHLY, WEST BENGAL",712104.0,EAST,WEST BENGAL,HOOGHLY,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
1253,EST-WB-1247,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - PURSURAH RUNNING UNDER PTP,"PURURAH CHATRASAL ROAD, VILLAGE - HARIHAR, PO - PURSURAH, HOOGHLY, WEST BENGAL",712401.0,EAST,WEST BENGAL,HOOGHLY,ACTIVE,,0,,,"PC Changed(3), Power Related(8)",,Average,"PC Changed(3), Power Related(8)"
1254,EST-WB-1415,SERAMPORE COLLEGE,"8, WILLIAM CAREY SARANI, MANIKTALA, SERAMPORE, HOOGHLY, WEST BENGAL",712201.0,EAST,WEST BENGAL,HOOGHLY,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1255,EST-WB-1538,ABACUS INSTITUTE OF ENGINEERING & MANAGEMENT (AIEM),"NATUNGRAM, MOGRA, HOOGHLY, WEST BENGAL",712148.0,EAST,WEST BENGAL,HOOGHLY,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1256,EST-WB-1248,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - HOWRAH HOMES,"BARUIPARA, SANTRAGACHI, HOWRAH, WEST BENGAL",711104.0,EAST,WEST BENGAL,HOWRAH,ACTIVE,,0,,,PC Changed(1),,Average,PC Changed(1)
1257,EST-WB-1249,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - SHYAMPUR RUNNING UNDER PTP,"VILLAGE - AMRABATI, PO - AJODHYA, PS - SHYAMPUR, HOWRAH, WEST BENGAL",711314.0,EAST,WEST BENGAL,HOWRAH,ACTIVE,,0,,,"PC Changed(2), Power Related(1)",,Average,"PC Changed(2), Power Related(1)"
1258,EST-WB-1394,RAMAKRISHNA MISSION SHILPAVIDYALAYA PRIVATE INDUSTRIAL TRAINING INSTITUTE,"BELURMATH, BELUR, HOWRAH, WEST BENGAL",711202.0,EAST,WEST BENGAL,HOWRAH,ACTIVE,,0,,,,,Good,Good
1259,EST-WB-1400,RAMAKRISHNA MISSION SIKSHANAMANDIRA,"BELUR MATH, HOWRAH, WEST BENGAL",711202.0,EAST,WEST BENGAL,HOWRAH,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1260,EST-WB-1416,"MARIA'S INSTITUTE OF ENGLISH AND COMPUTER EDUCATION (MIECE), MARIA'S DAY SCHOOL COMPLEX","11/6, GT ROAD (SOUTH), GOPAL GABINDA BOSE LANE, HOWRAH, WEST BENGAL",711101.0,EAST,WEST BENGAL,HOWRAH,ACTIVE,,0,,,,,Good,Good
1261,EST-WB-1419,SEACOM ENGINEERING COLLEGE,"JL-JALADHULAGORI, VIA ANDUL MOURI ROAD, SANKRAIL, HOWRAH, WEST BENGAL",711302.0,EAST,WEST BENGAL,HOWRAH,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
1262,EST-WB-1429,CAREER WINGS,"241/2, GT ROAD, LILUAH, HOWRAH, WEST BENGAL",711204.0,EAST,WEST BENGAL,HOWRAH,ACTIVE,,0,,,PC Changed(2),Average (Rating <4 & Reviews >=10),Average,PC Changed(2)
1263,EST-WB-1250,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE RAMKRISHNA SEVASHRAM - DHUPGURI RUNNING UNDER PTP,"NATHURAHAT, DHUPGURI, WEST BENGAL",735233.0,EAST,WEST BENGAL,JALPAIGURI,ACTIVE,,0,,,"PC Changed(6), Power Related(6)",,Average,"PC Changed(6), Power Related(6)"
1264,EST-WB-1409,JIS COLLEGE OF ENGINEERING,"BARRACKPORE - KALYANI EXPRESSWAY, BLOCK A5, BLOCK A, KALYANI, NADIA, WEST BENGAL",741235.0,EAST,WEST BENGAL,KALYANI,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1265,EST-WB-1377,KHARAG PUR PRIVATE INDUSTRIAL TRAINING INSTITUTE,"NIRANJANBARH, PO - RAKHAJUNGLE, PS - KHARAGPUR LOCAL, PASCHIM MEDINIPUR, WEST BENGAL",721301.0,EAST,WEST BENGAL,KHARAGPUR,ACTIVE,,0,,,"D Mapping(1), PC Changed(3), Power Related(5)",,Average,"D Mapping(1), PC Changed(3), Power Related(5)"
1266,EST-WB-1403,ANALOG DIGITAL COMPUTER CENTRE,"WARD NO. 12, GURUDWARA ROAD, DEWANMARO, NIMPURA, KHARAGPUR, WEST BENGAL",721304.0,EAST,WEST BENGAL,KHARAGPUR,ACTIVE,,0,,,"D Mapping(1), PC Changed(13), Power Related(1)",Doubtful (Reviews < 10),Average,"D Mapping(1), PC Changed(13), Power Related(1)"
1267,EST-WB-1125,FUTURE STAIRS,"28, UDAYRAJPUR, JESSORE ROAD, MADHYAMGRAM, NORTH 24 PARGANAS, KOLKATA, WEST BENGAL",700129.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,"PC Changed(4), Power Related(1)",Doubtful (Reviews < 10),Average,"PC Changed(4), Power Related(1)"
1268,EST-WB-1129,INSTITUTE OF INSTRUMENTATION AND METROLOGY,"35 & 36, MADHUSUDAN BANERJEE ROAD, BELGHARIA, KOLKATA, WEST BENGAL",700049.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,"PC Changed(8), Power Related(1)",Doubtful (Reviews < 10),Average,"PC Changed(8), Power Related(1)"
1269,EST-WB-1131,MBC MODI HOUSE,"24, MADANMOHAN TALA STREET, KOLKATA, WEST BENGAL",700005.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,1,,,"D Mapping(1), PC Changed(8), Power Related(1)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
1270,EST-WB-1134,NETAJI SUBHAS ENGINEERING COLLEGE,"MAUZA - RANABHUTIA, TECHNO CITY, GARIA, KOLKATA, WEST BENGAL",700152.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,,Average (Rating <4 & Reviews >=10),Good,Good
1271,EST-WB-1139,REGENT EDUCATION AND RESEARCH FOUNDATION,"BARA KANTHALIA, SEWLI TELINI PARA, BARRACKPORE, NORTH 24 PARGANAS, KOLKATA, WEST BENGAL",700121.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,"PC Changed(6), Power Related(1)",Doubtful (Reviews < 10),Average,"PC Changed(6), Power Related(1)"
1272,EST-WB-1144,SUDHIR MEMORIAL INSTITUTE,"NETAJI NAGAR, JESSORE ROAD, DOLTALA, MADHYAMGRAM, KOLKATA, WEST BENGAL",700132.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,1,,,"D Mapping(7), PC Changed(20), Power Related(3), SPS Node(1)",Good (Rating >=4 & Reviews >=10),Sensitive Venue,Found in FFA
1273,EST-WB-1147,WEBEL HRDC,"P-1, TARATALA RD, BESIDE BRACE BRIDGE, TARATALA, KOLKATA- 700088. WEST BENGAL",700088.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,Suspicious Activity Observed At Venue(1),PC Changed(4),Doubtful (Reviews < 10),Sensitive Venue,Suspicious Activity Observed At Venue(1)
1274,EST-WB-1251,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - TOLLYGANJ,"24, CHANDI GHOSH ROAD, ASHOK NAGAR, TOLLYGAUNGE, KOLKATA, WEST BENGAL",700040.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,PC Changed(5),,Average,PC Changed(5)
1275,EST-WB-1252,GOVERNMENT WOMEN INDUSTRIAL TRAINING INSTITUTE - KOLKATA,"2/1, ANIL MAITRA ROAD, BALLYGAUNGE PLACE, BALLYGAUNGE, KOLKATA, WEST BENGAL",700019.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,,,Good,Good
1276,EST-WB-1294,GOVERNMENT INDUSTRIAL TRAINING INSTITUTE - GARIAHAT,"10, 10/1, GARIAHAT ROAD, BLOCK C, KOLKATA, WEST BENGAL",700019.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,,,Good,Good
1277,EST-WB-1398,JADAVPUR UNIVERSITY,"188, RAJA SUBODH CHANDRA MALLICK ROAD, KOLKATA, WEST BENGAL",700032.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1278,EST-WB-1399,VISHNU SOLUTIONS PRIVATE LIMITED,"FIRST FLOOR, NANDI COMMERCIAL BUILDING, 14B, CAMAC STREET, ELGIN, KOLKATA, WEST BENGAL",700017.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,PC Changed(13),Doubtful (Reviews < 10),Average,PC Changed(13)
1279,EST-WB-1405,TECHNO MAIN SALTLAKE,"EM-4, EM BLOCK, SECTOR V, BIDHANNAGAR, KOLKATA, WEST BENGAL",700091.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,PC Changed(6),Doubtful (Reviews < 10),Average,PC Changed(6)
1280,EST-WB-1410,HDSM INFOTECH - RAJARHAT,"RAJARHAT KALABERIYA, BISHNUPUR, KOLKATA, WEST BENGAL",700135.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,"PC Changed(12), Power Related(3)",Doubtful (Reviews < 10),Average,"PC Changed(12), Power Related(3)"
1281,EST-WB-1417,RCC INSTITUTE OF INFORMATION TECHNOLOGY,"CANAL S ROAD, BELEGHATA, KOLKATA, WEST BENGAL",700015.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1282,EST-WB-1420,TALENIQ TECHNOLOGIES PVT LTD,"12/1 DEB BANNERJEE ROAD, KOLKATA, WEST BENGAL",700039.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,2,,,"D Mapping(3), PC Changed(6), Power Related(31), Venue Closed/Other Exam Running(1)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
1283,EST-WB-1421,B.P. PODDAR INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"137, VIP ROAD, MALI BAGAN, KAIKHALI, KOLKATA, WEST BENGAL",700052.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,"PC Changed(2), Power Related(1)",Doubtful (Reviews < 10),Average,"PC Changed(2), Power Related(1)"
1284,EST-WB-1430,NXTERA SERVICES PRIVATE LIMITED,"2ND FLOOR, ADVANTAGE TOWER, EN - 27, KOLKATA, WEST BENGAL",700091.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,3,,,"D Mapping(4), PC Changed(9)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
1285,EST-WB-1431,RAJESH GUPTA HUF,"54/11D, NEW SANTOSHPUR MAIN ROAD, NEW SANTOSHPUR, JADAVPUR, KOLKATA -700075, WEST BENGAL",700075.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,PC Changed(28),Doubtful (Reviews < 10),Average,PC Changed(28)
1286,EST-WB-1432,THE NEOTIA UNIVERSITY,"JHINGER POLE, DIAMOND HARBOUR ROAD, SARISHA, 24 PARGANAS SOUTH, WEST BENGAL",743368.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,,Good (Rating >=4 & Reviews >=10),Good,Good
1287,EST-WB-1449,MBC BEHALA COLLEGE,"32, UPEN BANERJEE ROAD, BAKSHI BAGAN, BEHALA, KOLKATA, WEST BENGAL - 700060",700060.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,1,,,"D Mapping(2), PC Changed(4), Power Related(5)",Doubtful (Reviews < 10),Sensitive Venue,Found in FFA
1288,EST-WB-1450,SM INFRATECH SOLUTIONS,"203 D, LAKETOWN, 1ST FLOOR, BLOCK B, KOLKATA - 700069, WEST BENGAL",700069.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,"PC Changed(23), Power Related(1)",Doubtful (Reviews < 10),Average,"PC Changed(23), Power Related(1)"
1289,EST-WB-1781,CALCUTTA INSTITUTE OF ENGINEERING & MANAGEMENT (CIEM),"24, 1A, CHANDI GHOSH ROAD, ASHOK NAGAR, TOLLYGUNGE, KOLKATA, WEST BENGAL",700040.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,,Doubtful (Reviews < 10),Good,Good
